944, 1073773827, 40007D03, 4, 0, 0, 0, 7, D, 0, 3 
945, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
946, 536902919, 20007D07, 2, 0, 0, 0, 7, D, 0, 7 
947, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
948, 1073773610, 40007C2A, 4, 0, 0, 0, 7, C, 2, A 
949, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
950, -1610580942, A0007C32, A, 0, 0, 0, 7, C, 3, 2 
951, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
952, -2147451845, 80007C3B, 8, 0, 0, 0, 7, C, 3, B 
953, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
954, -2147451836, 80007C44, 8, 0, 0, 0, 7, C, 4, 4 
955, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
956, -1073710021, C0007C3B, C, 0, 0, 0, 7, C, 3, B 
957, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
958, -536839117, E0007C33, E, 0, 0, 0, 7, C, 3, 3 
959, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
960, -536839121, E0007C2F, E, 0, 0, 0, 7, C, 2, F 
961, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
962, -1073710037, C0007C2B, C, 0, 0, 0, 7, C, 2, B 
963, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
964, -2147451674, 80007CE6, 8, 0, 0, 0, 7, C, E, 6 
965, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
966, -2147451684, 80007CDC, 8, 0, 0, 0, 7, C, D, C 
967, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
968, -1610580784, A0007CD0, A, 0, 0, 0, 7, C, D, 0 
969, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
970, -2147451707, 80007CC5, 8, 0, 0, 0, 7, C, C, 5 
971, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
