 3, 4 
570, 1610644717, 60007CED, 6, 0, 0, 0, 7, C, E, D 
572, 31945, 00007CC9, 0, 0, 0, 0, 7, C, C, 9 
574, -1073709868, C0007CD4, C, 0, 0, 0, 7, C, D, 4 
576, 31968, 00007CE0, 0, 0, 0, 0, 7, C, E, 0 
578, 536902890, 20007CEA, 2, 0, 0, 0, 7, C, E, A 
580, 536902900, 20007CF4, 2, 0, 0, 0, 7, C, F, 4 
582, -1073709828, C0007CFC, C, 0, 0, 0, 7, C, F, C 
584, 1073773828, 40007D04, 4, 0, 0, 0, 7, D, 0, 4 
586, -1610580964, A0007C1C, A, 0, 0, 0, 7, C, 1, C 
588, 31778, 00007C22, 0, 0, 0, 0, 7, C, 2, 2 
590, -1073710038, C0007C2A, C, 0, 0, 0, 7, C, 2, A 
592, -2147451852, 80007C34, 8, 0, 0, 0, 7, C, 3, 4 
594, 1610644542, 60007C3E, 6, 0, 0, 0, 7, C, 3, E 
