,,,,,
,,,,,
AMiRo LightRing 1.0,,,,,
Bootloader 1.1.1,,,,,
ChibiOS 2.6.8,,,,,
Board ID: 36,,,,,
,,,,,
starting robot ,,,,,
before init ,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
,,,,,
ChibiOS/RT Shell,,,,,
ch> before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
Cycle 0,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
449,224,14364.72949,-1635,FFFFF99D,1578.6781
451,225,14428.85742,-1628,FFFFF9A4,1466.01306
453,226,14492.98632,-1622,FFFFF9AA,1580.40209
455,227,14557.11425,-1613,FFFFF9B3,1639.02648
457,228,14621.24218,-1603,FFFFF9BD,1502.33251
459,229,14685.37109,-1593,FFFFF9C7,1505.21252
461,230,14749.49902,-1582,FFFFF9D2,1634.98718
463,231,14813.62695,-1570,FFFFF9DE,1583.71301
465,232,14877.75585,-1559,FFFFF9E9,1473.83996
467,233,14941.88378,-1549,FFFFF9F3,1579.38305
469,234,15006.01171,-1538,FFFFF9FE,1637.62475
471,235,15070.14062,-1526,FFFFFA0A,1496.63037
473,236,15134.26855,-1516,FFFFFA14,1497.66052
475,237,15198.39648,-1504,FFFFFA20,1638.28894
477,238,15262.52539,-1490,FFFFFA2E,1575.90539
479,239,15326.65332,-1477,FFFFFA3B,1465.26489
481,240,15390.78125,-1466,FFFFFA46,1580.88586
483,241,15454.91015,-1455,FFFFFA51,1631.08007
485,242,15519.03808,-1446,FFFFFA5A,1493.57519
487,243,15583.16601,-1437,FFFFFA63,1501.6842
489,244,15647.29492,-1428,FFFFFA6C,1634.37854
491,245,15711.42285,-1420,FFFFFA74,1578.93286
493,246,15775.55078,-1411,FFFFFA7D,1468.70996
495,247,15839.67968,-1404,FFFFFA84,1578.28454
497,248,15903.80761,-1399,FFFFFA89,1645.54687
499,249,15967.93554,-1393,FFFFFA8F,1503.53747
1s,,,,,
2s,,,,,
3s,,,,,
4s,,,,,
5s,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
Cycle 0,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0,-1538,FFFFF9FE,0
3,1,64.12825,-1538,FFFFF9FE,3127.4602
5,2,128.25651,-1537,FFFFF9FF,1405.10424
7,3,192.38476,-1538,FFFFF9FE,1193.50512
9,4,256.51303,-1538,FFFFF9FE,1807.40734
11,5,320.64129,-1539,FFFFF9FD,1717.01635
13,6,384.76953,-1540,FFFFF9FC,1287.031
15,7,448.89779,-1539,FFFFF9FD,1537.93383
17,8,513.02606,-1538,FFFF,
