,,,,,
AMiRo LightRing 1.0,,,,,
Bootloader 1.1.1,,,,,
ChibiOS 2.6.8,,,,,
Board ID: 36,,,,,
,,,,,
starting robot ,,,,,
before init ,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
,,,,,
ChibiOS/RT Shell,,,,,
ch> before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
447,223,7143.14306,-554,FFFFFDD6,866.03381
449,224,7175.17529,-537,FFFFFDE7,1136.55053
451,225,7207.20703,-521,FFFFFDF7,1178.68981
453,226,7239.23925,-510,FFFFFE02,970.27044
455,227,7271.27148,-504,FFFFFE08,591.25915
457,228,7303.30322,-502,FFFFFE0A,270.03176
459,229,7335.33544,-502,FFFFFE0A,597.59228
461,230,7367.36718,-502,FFFFFE0A,964.39849
463,231,7399.39941,-502,FFFFFE0A,1155.4132
465,232,7431.43164,-502,FFFFFE0A,1059.401
467,233,7463.46337,-501,FFFFFE0B,893.75756
469,234,7495.4956,-500,FFFFFE0C,456.09014
471,235,7527.52734,-501,FFFFFE0B,332.324
473,236,7559.55957,-508,FFFFFE04,658.7901
475,237,7591.59179,-526,FFFFFDF2,1043.98754
477,238,7623.62353,-551,FFFFFDD9,1125.42944
479,239,7655.65576,-576,FFFFFDC0,1045.23999
481,240,7687.6875,-597,FFFFFDAB,720.31005
483,241,7719.71972,-612,FFFFFD9C,315.51428
485,242,7751.75195,-623,FFFFFD91,396.27258
487,243,7783.78369,-634,FFFFFD86,786.17645
489,244,7815.81591,-649,FFFFFD77,1088.10253
491,245,7847.84765,-664,FFFFFD68,1093.05871
493,246,7879.87988,-679,FFFFFD59,934.19293
495,247,7911.9121,-694,FFFFFD4A,575.87658
497,248,7943.94384,-714,FFFFFD36,291.22991
499,249,7975.97607,-737,FFFFFD1F,519.6864
501,250,8008.00781,-755,FFFFFD0D,879.7326
503,251,8040.04003,-768,FFFFFD00,1069.66296
505,252,8072.07226,-779,FFFFFCF5,1071.46081
507,253,8104.104,-786,FFFFFCEE,833.38549
509,254,8136.13623,-791,FFFFFCE9,446.35333
511,255,8168.16796,-801,FFFFFCDF,297.17294
513,256,8200.20019,-812,FFFFFCD4,600.03045
515,257,8232.23242,-824,FFFFFCC8,913.49249
517,258,8264.26464,-841,FFFFFCB7,1053.19409
519,259,8296.29589,-859,FFFFFCA5,954.06628
521,260,8328.32812,-874,FFFFFC96,824.16516
523,261,8360.36035,-886,FFFFFC8A,350.97348
525,262,8392.39257,-891,FFFFFC85,333.40136
527,263,8424.4248,-890,FFFFFC86,709.28942
529,264,8456.45605,-891,FFFFFC85,1000.22131
531,265,8488.48828,-892,FFFFFC84,1073.62805
533,266,8520.5205,-896,FFFFFC80,933.52148
535,267,8552.55273,-904,FFFFFC78,580.56622
537,268,8584.58496,-913,FFFFFC6F,245.89126
539,269,8616.61621,-921,FFFFFC67,417.93072
541,270,8648.64843,-925,FFFFFC63,811.19775
543,271,8680.68066,-923,FFFFFC65,1009.18945
545,272,8712.71289,-915,FFFFFC6D,995.69915
547,273,8744.74511,-902,FFFFFC7A,852.46087
549,274,8776.77636,-885,FFFFFC8B,436.31951
551,275,8808.80859,-869,FFFFFC9B,229.16676
553,276,8840.84082,-854,FFFFFCAA,548.72766
555,277,8872.87304,-844,FFFFFCB4,861.17846
557,278,8904.90527,-836,FFFFFCBC,986.82531
559,279,8936.93652,-828,FFFFFCC4,984.24102
561,280,8968.96875,-816,FFFFFCD0,721.86004
563,281,9001.00097,-798,FFFFFCE2,365.38684
565,282,9033.0332,-780,FFFFFCF4,292.38989
567,283,9065.06542,-764,FFFFFD04,652.67535
569,284,9097.09667,-748,FFFFFD14,908.47393
571,285,9129.1289,-727,FFFFFD29,1024.76586
573,286,9161.16113,-704,FFFFFD40,891.49334
575,287,9193.19335,-683,FFFFFD55,557.58154
577,288,9225.22558,-666,FFFFFD66,274.10177
579,289,9257.25683,-655,FFFFFD71,395.25115
581,290,9289.28906,-648,FFFFFD78,709.40039
583,291,9321.32128,-640,FFFFFD80,940.79949
585,292,9353.35351,-628,FFFFFD8C,949.56268
587,293,9385.38574,-612,FFFFFD9C,825.37402
589,294,9417.41699,-596,FFFFFDAC,475.72369
591,295,9449.44921,-581,FFFFFDBB,236.04199
593,296,9481.48144,-565,FFFFFDCB,474.00424
595,297,9513.51367,-547,FFFFFDDD,769.82946
597,298,9545.54589,-531,FFFFFDED,935.28405
599,299,9577.57714,-520,FFFFFDF8,923.66931
601,300,9609.60937,-514,FFFFFDFE,748.94732
603,301,9641.6416,-512,FFFFFE00,378.00384
605,302,9673.67382,-511,FFFFFE01,246.35282
607,303,9705.70605,-512,FFFFFE00,586.84197
609,304,9737.7373,-512,FFFFFE00,833.91741
611,305,9769.76953,-509,FFFFFE03,936.63171
613,306,9801.80175,-507,FFFFFE05,887.94531
615,307,9833.83398,-507,FFFFFE05,623.30004
617,308,9865.86621,-509,FFFFFE03,291.98715
619,309,9897.89746,-516,FFFFFDFC,328.18572
621,310,9929.92968,-533,FFFFFDEB,650.05834
623,311,9961.96191,-560,FFFFFDD0,894.47222
625,312,9993.99414,-588,FFFFFDB4,938.98327
627,313,10026.02636,-609,FFFFFD9F,815.45184
629,314,10058.05761,-621,FFFFFD93,510.77383
631,315,10090.08984,-630,FFFFFD8A,237.88378
633,316,10122.12207,-641,FFFFFD7F,433.12521
635,317,10154.15429,-655,FFFFFD71,723.24871
637,318,10186.18652,-672,FFFFFD60,918.81921
639,319,10218.21777,-688,FFFFFD50,883.82702
641,320,10250.25,-704,FFFFFD40,738.32727
643,321,10282.28222,-724,FFFFFD2C,374.01666
645,322,10314.31445,-745,FFFFFD17,235.93803
647,323,10346.34667,-764,FFFFFD04,514.10449
649,324,10378.37792,-780,FFFFFCF4,773.52465
651,325,10410.41015,-791,FFFFFCE9,904.88372
653,326,10442.44238,-797,FFFFFCE3,850.51397
655,327,10474.4746,-801,FFFFFCDF,626.38421
657,328,10506.50683,-807,FFFFFCD9,292.09408
659,329,10538.53808,-819,FFFFFCCD,298.30416
661,330,10570.57031,-835,FFFFFCBD,602.22027
663,331,10602.60253,-850,FFFFFCAE,811.234
665,332,10634.63476,-868,FFFFFC9C,898.06451
667,333,10666.66699,-886,FFFFFC8A,807.26763
669,334,10698.69824,-897,FFFFFC7F,503.61679
671,335,10730.73046,-900,FFFFFC7C,245.62165
673,336,10762.76269,-901,FFFFFC7B,373.91366
675,337,10794.79492,-900,FFFFFC7C,673.43164
677,338,10826.82714,-901,FFFFFC7B,849.54559
679,339,10858.85839,-906,FFFFFC76,864.41229
681,340,10890.89062,-916,FFFFFC6C,711.52423
683,341,10922.92285,-926,FFFFFC62,432.0964
685,342,10954.95507,-934,FFFFFC5A,220.77981
687,343,10986.9873,-938,FFFFFC56,446.03234
689,344,11019.01855,-936,FFFFFC58,713.97259
691,345,11051.05078,-928,FFFFFC60,900.19561
693,346,11083.083,-914,FFFFFC6E,811.90032
695,347,11115.11523,-897,FFFFFC7F,640.79864
697,348,11147.14746,-879,FFFFFC91,339.10595
699,349,11179.17871,-863,FFFFFCA1,242.71595
701,350,11211.21093,-854,FFFFFCAA,548.90338
703,351,11243.24316,-847,FFFFFCB1,785.91101
705,352,11275.27539,-840,FFFFFCB8,860.5064
707,353,11307.30761,-829,FFFFFCC3,765.28125
709,354,11339.33886,-813,FFFFFCD3,550.61834
711,355,11371.37109,-795,FFFFFCE5,253.944
713,356,11403.40332,-777,FFFFFCF7,340.79876
715,357,11435.43554,-759,FFFFFD09,622.26562
717,358,11467.46777,-738,FFFFFD1E,801.12048
719,359,11499.49902,-715,FFFFFD35,842.38214
721,360,11531.53125,-694,FFFFFD4A,723.95831
723,361,11563.56347,-677,FFFFFD5B,454.53472
725,362,11595.5957,-667,FFFFFD65,221.36866
727,363,11627.62792,-660,FFFFFD6C,397.86508
729,364,11659.65917,-651,FFFFFD75,683.49291
731,365,11691.6914,-640,FFFFFD80,836.21374
733,366,11723.72363,-624,FFFFFD90,808.83831
735,367,11755.75585,-609,FFFFFD9F,648.43402
737,368,11787.78808,-595,FFFFFDAD,371.06085
739,369,11819.81933,-577,FFFFFDBF,209.56138
741,370,11851.85156,-560,FFFFFDD0,497.65719
743,371,11883.88378,-544,FFFFFDE0,753.06445
745,372,11915.91601,-532,FFFFFDEC,846.2384
747,373,11947.94824,-524,FFFFFDF4,778.13494
749,374,11979.97949,-522,FFFFFDF6,564.49774
751,375,12012.01171,-522,FFFFFDF6,258.62457
753,376,12044.04394,-523,FFFFFDF5,297.77838
755,377,12076.07617,-524,FFFFFDF4,576.2666
757,378,12108.10839,-524,FFFFFDF4,773.46368
759,379,12140.14062,-523,FFFFFDF5,831.6892
761,380,12172.17187,-523,FFFFFDF5,721.15997
763,381,12204.2041,-525,FFFFFDF3,461.94659
765,382,12236.23632,-532,FFFFFDEC,200.19512
767,383,12268.26855,-549,FFFFFDDB,360.99282
769,384,12300.30078,-573,FFFFFDC3,638.47515
771,385,12332.33203,-597,FFFFFDAB,797.68218
773,386,12364.36425,-617,FFFFFD97,817.74462
775,387,12396.39648,-630,FFFFFD8A,652.57098
777,388,12428.42871,-640,FFFFFD80,394.45916
779,389,12460.46093,-651,FFFFFD75,196.55694
781,390,12492.49218,-665,FFFFFD67,445.87628
783,391,12524.52441,-681,FFFFFD57,711.44671
785,392,12556.55664,-697,FFFFFD47,826.1159
787,393,12588.58886,-713,FFFFFD37,765.94793
789,394,12620.62109,-732,FFFFFD24,574.21649
791,395,12652.65234,-754,FFFFFD0E,299.23928
793,396,12684.68457,-776,FFFFFCF8,240.23867
795,397,12716.71679,-791,FFFFFCE9,533.56396
797,398,12748.74902,-801,FFFFFCDF,742.4461
799,399,12780.78125,-808,FFFFFCD8,820.63946
801,400,12812.8125,-812,FFFFFCD4,724.84252
803,401,12844.84472,-817,FFFFFCCF,499.32476
805,402,12876.87695,-829,FFFFFCC3,232.47152
807,403,12908.90917,-842,FFFFFCB6,318.73321
809,404,12940.9414,-859,FFFFFCA5,594.03424
811,405,12972.97265,-880,FFFFFC90,791.3977
813,406,13005.00488,-898,FFFFFC7E,797.85736
815,407,13037.0371,-906,FFFFFC76,660.24822
817,408,13069.06933,-911,FFFFFC71,408.57467
819,409,13101.10156,-912,FFFFFC70,192.582
821,410,13133.13281,-909,FFFFFC73,400.97702
823,411,13165.16503,-911,FFFFFC71,676.37188
825,412,13197.19726,-916,FFFFFC6C,794.63446
827,413,13229.22949,-923,FFFFFC65,776.43176
829,414,13261.26171,-932,FFFFFC5C,596.80578
831,415,13293.29296,-942,FFFFFC52,318.03976
833,416,13325.32519,-948,FFFFFC4C,217.36972
835,417,13357.35742,-949,FFFFFC4B,473.04827
837,418,13389.38964,-942,FFFFFC52,718.83892
839,419,13421.42187,-928,FFFFFC60,811.08569
841,420,13453.45312,-909,FFFFFC73,732.16424
843,421,13485.48535,-889,FFFFFC87,517.47485
845,422,13517.51757,-873,FFFFFC97,231.6314
847,423,13549.5498,-862,FFFFFCA2,288.54812
849,424,13581.58203,-855,FFFFFCA9,550.32263
851,425,13613.61328,-849,FFFFFCAF,753.25305
853,426,13645.6455,-840,FFFFFCB8,801.48608
855,427,13677.67773,-825,FFFFFCC7,684.55816
857,428,13709.70996,-807,FFFFFCD9,431.60757
859,429,13741.74218,-789,FFFFFCEB,193.73834
861,430,13773.77343,-771,FFFFFCFD,361.88156
863,431,13805.80566,-750,FFFFFD12,634.93487
865,432,13837.83789,-726,FFFFFD2A,790.89764
867,433,13869.87011,-704,FFFFFD40,785.57696
869,434,13901.90234,-687,FFFFFD51,610.48016
871,435,13933.93359,-676,FFFFFD5C,346.17959
873,436,13965.96582,-669,FFFFFD63,197.83927
875,437,13997.99804,-661,FFFFFD6B,449.45663
877,438,14030.03027,-651,FFFFFD75,696.8526
879,439,14062.0625,-635,FFFFFD85,787.65289
881,440,14094.09375,-618,FFFFFD96,745.19299
883,441,14126.12597,-602,FFFFFDA6,535.56011
885,442,14158.1582,-586,FFFFFDB6,265.76824
887,443,14190.19042,-568,FFFFFDC8,265.38528
889,444,14222.22265,-551,FFFFFDD9,527.65747
891,445,14254.2539,-539,FFFFFDE5,721.83813
893,446,14286.28613,-533,FFFFFDEB,802.53472
895,447,14318.31835,-531,FFFFFDED,697.63568
897,448,14350.35058,-531,FFFFFDED,455.38302
899,449,14382.38281,-532,FFFFFDEC,202.65403
901,450,14414.41406,-533,FFFFFDEB,330.75402
903,451,14446.44628,-533,FFFFFDEB,613.66296
905,452,14478.47851,-532,FFFFFDEC,761.74432
907,453,14510.51074,-531,FFFFFDED,760.802
909,454,14542.54296,-532,FFFFFDEC,642.05969
911,455,14574.57421,-540,FFFFFDE4,366.6123
913,456,14606.60644,-557,FFFFFDD3,200.39031
915,457,14638.63867,-581,FFFFFDBB,426.695
917,458,14670.67089,-605,FFFFFDA3,666.84558
919,459,14702.70312,-625,FFFFFD8F,785.10137
921,460,14734.73437,-638,FFFFFD82,728.73339
923,461,14766.7666,-649,FFFFFD77,554.58752
925,462,14798.79882,-661,FFFFFD6B,301.5603
927,463,14830.83105,-677,FFFFFD5B,234.64228
929,464,14862.86328,-694,FFFFFD4A,488.8041
931,465,14894.89453,-707,FFFFFD3D,709.77423
933,466,14926.92675,-721,FFFFFD2F,775.6499
935,467,14958.95898,-739,FFFFFD1D,704.23736
937,468,14990.99121,-762,FFFFFD06,481.74972
