

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
359,179,5733.73388,2334,0000091E,3425.61474
361,180,5765.76562,2335,0000091F,3146.17309
363,181,5797.79785,2335,0000091F,2796.02075
365,182,5829.82958,2337,00000921,2205.30932
367,183,5861.86181,2338,00000922,1569.97973
369,184,5893.89404,2339,00000923,893.73333
371,185,5925.92578,2341,00000925,278.98907
373,186,5957.95800,2342,00000926,710.21459
375,187,5989.98974,2344,00000928,1422.38525
377,188,6022.02197,2347,0000092B,2077.04101
379,189,6054.05419,2349,0000092D,2640.49584
381,190,6086.08593,2350,0000092E,3084.22094
383,191,6118.11816,2354,00000932,3288.74707
385,192,6150.15039,2358,00000936,3365.63427
387,193,6182.18212,2363,0000093B,3248.18798
389,194,6214.21435,2368,00000940,3046.08862
391,195,6246.24609,2374,00000946,2706.80664
393,196,6278.27832,2379,0000094B,2156.88330
395,197,6310.31054,2385,00000951,1563.38366
397,198,6342.34228,2391,00000957,914.94677
399,199,6374.37451,2396,0000095C,308.08453
401,200,6406.40625,2402,00000962,757.52685
403,201,6438.43847,2409,00000969,1347.87512
405,202,6470.47070,2415,0000096F,2013.19750
407,203,6502.50244,2421,00000975,2539.85693
409,204,6534.53466,2428,0000097C,2940.22851
411,205,6566.56640,2435,00000983,3202.23925
413,206,6598.59863,2442,0000098A,3286.01660
415,207,6630.63085,2448,00000990,3238.24121
417,208,6662.66259,2455,00000997,2996.02734
419,209,6694.69482,2461,0000099D,2660.37670
421,210,6726.72656,2467,000009A3,2096.38623
423,211,6758.75878,2473,000009A9,1514.86389
425,212,6790.79101,2481,000009B1,837.52947
427,213,6822.82275,2487,000009B7,447.32299
429,214,6854.85498,2494,000009BE,749.10253
431,215,6886.88671,2500,000009C4,1460.25976
433,216,6918.91894,2505,000009C9,2023.63427
435,217,6950.95117,2509,000009CD,2469.21313
437,218,6982.98291,2513,000009D1,2933.31689
439,219,7015.01513,2518,000009D6,3108.51074
441,220,7047.04687,2521,000009D9,3223.26342
443,221,7079.07910,2524,000009DC,3068.27441
445,222,7111.11132,2527,000009DF,2930.88159
447,223,7143.14306,2530,000009E2,2572.86157
449,224,7175.17529,2532,000009E4,2024.32482
451,225,7207.20703,2536,000009E8,1558.16394
453,226,7239.23925,2538,000009EA,886.96759
455,227,7271.27148,2540,000009EC,466.82592
457,228,7303.30322,2542,000009EE,810.90759
459,229,7335.33544,2541,000009ED,1428.23620
461,230,7367.36718,2541,000009ED,2011.18615
463,231,7399.39941,2541,000009ED,2459.07739
465,232,7431.43164,2541,000009ED,2809.81713
467,233,7463.46337,2540,000009EC,3068.76000
469,234,7495.49560,2540,000009EC,3169.47192
471,235,7527.52734,2539,000009EB,3039.49365
473,236,7559.55957,2539,000009EB,2849.62353
475,237,7591.59179,2537,000009E9,2475.03540
477,238,7623.62353,2535,000009E7,2029.30249
479,239,7655.65576,2533,000009E5,1448.76196
481,240,7687.68750,2531,000009E3,865.36920
483,241,7719.71972,2529,000009E1,557.14825
485,242,7751.75195,2529,000009E1,857.04876
487,243,7783.78369,2527,000009DF,1404.19311
489,244,7815.81591,2526,000009DE,1951.04309
491,245,7847.84765,2524,000009DC,2455.11035
493,246,7879.87988,2524,000009DC,2850.09057
495,247,7911.91210,2524,000009DC,3007.40185
497,248,7943.94384,2522,000009DA,3129.84545
499,249,7975.97607,2520,000009D8,2981.26611
501,250,8008.00781,2519,000009D7,2813.52612
503,251,8040.04003,2517,000009D5,2397.10595
505,252,8072.07226,2517,000009D5,2000.20129
507,253,8104.10400,2517,000009D5,1447.36474
509,254,8136.13623,2518,000009D6,906.10150
511,255,8168.16796,2517,000009D5,588.52947
513,256,8200.20019,2518,000009D6,915.57281
515,257,8232.23242,2519,000009D7,1458.85168
517,258,8264.26464,2520,000009D8,1927.72900
519,259,8296.29589,2522,000009DA,2471.55664
521,260,8328.32812,2524,000009DC,2771.68872
523,261,8360.36035,2527,000009DF,2998.97998
525,262,8392.39257,2529,000009E1,2985.55395
527,263,8424.42480,2531,000009E3,2996.96459
529,264,8456.45605,2533,000009E5,2726.20776
531,265,8488.48828,2536,000009E8,2389.25073
533,266,8520.52050,2540,000009EC,1942.14013
535,267,8552.55273,2543,000009EF,1402.65979
