

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
303,151,4836.83691,-1527,FFFFFA09,1536.19506
305,152,4868.86865,-1533,FFFFFA03,1486.26440
307,153,4900.90087,-1540,FFFFF9FC,1533.82165
309,154,4932.93310,-1546,FFFFF9F6,1528.20959
311,155,4964.96484,-1551,FFFFF9F1,1508.53479
313,156,4996.99707,-1555,FFFFF9ED,1562.49853
315,157,5029.02880,-1560,FFFFF9E8,1503.52563
317,158,5061.06103,-1565,FFFFF9E3,1508.32690
319,159,5093.09326,-1570,FFFFF9DE,1464.17321
321,160,5125.12500,-1576,FFFFF9D8,1494.43566
323,161,5157.15722,-1583,FFFFF9D1,1493.28479
325,162,5189.18896,-1588,FFFFF9CC,1545.28393
327,163,5221.22119,-1592,FFFFF9C8,1520.28674
329,164,5253.25341,-1595,FFFFF9C5,1529.16174
331,165,5285.28515,-1598,FFFFF9C2,1515.62219
333,166,5317.31738,-1602,FFFFF9BE,1462.00158
335,167,5349.34912,-1605,FFFFF9BB,1444.54101
337,168,5381.38134,-1606,FFFFF9BA,1481.29602
339,169,5413.41357,-1608,FFFFF9B8,1548.10253
341,170,5445.44531,-1609,FFFFF9B7,1557.50952
343,171,5477.47753,-1610,FFFFF9B6,1517.82434
345,172,5509.50927,-1612,FFFFF9B4,1523.77941
347,173,5541.54150,-1613,FFFFF9B3,1497.69604
349,174,5573.57373,-1615,FFFFF9B1,1455.32922
351,175,5605.60546,-1616,FFFFF9B0,1495.43188
353,176,5637.63769,-1613,FFFFF9B3,1499.25817
355,177,5669.66943,-1609,FFFFF9B7,1569.42333
357,178,5701.70166,-1604,FFFFF9BC,1491.09252
359,179,5733.73388,-1599,FFFFF9C1,1486.33471
361,180,5765.76562,-1594,FFFFF9C6,1451.65649
363,181,5797.79785,-1591,FFFFF9C9,1451.67700
365,182,5829.82958,-1587,FFFFF9CD,1484.65490
367,183,5861.86181,-1583,FFFFF9D1,1524.11450
369,184,5893.89404,-1577,FFFFF9D7,1526.45349
371,185,5925.92578,-1571,FFFFF9DD,1527.31433
373,186,5957.95800,-1563,FFFFF9E5,1485.33447
375,187,5989.98974,-1557,FFFFF9EB,1476.79406
377,188,6022.02197,-1550,FFFFF9F2,1453.60034
379,189,6054.05419,-1542,FFFFF9FA,1508.14782
381,190,6086.08593,-1535,FFFFFA01,1504.26318
383,191,6118.11816,-1527,FFFFFA09,1527.09924
385,192,6150.15039,-1521,FFFFFA0F,1574.75122
387,193,6182.18212,-1517,FFFFFA13,1527.77758
389,194,6214.21435,-1511,FFFFFA19,1454.78222
391,195,6246.24609,-1506,FFFFFA1E,1443.17504
393,196,6278.27832,-1501,FFFFFA23,1502.83508
395,197,6310.31054,-1495,FFFFFA29,1539.86511
397,198,6342.34228,-1488,FFFFFA30,1553.83398
399,199,6374.37451,-1483,FFFFFA35,1535.30273
401,200,6406.40625,-1478,FFFFFA3A,1515.59106
403,201,6438.43847,-1475,FFFFFA3D,1469.75329
405,202,6470.47070,-1472,FFFFFA40,1455.64843
407,203,6502.50244,-1468,FFFFFA44,1489.97900
409,204,6534.53466,-1465,FFFFFA47,1530.26293
411,205,6566.56640,-1463,FFFFFA49,1511.11853
413,206,6598.59863,-1462,FFFFFA4A,1516.06335
415,207,6630.63085,-1462,FFFFFA4A,1528.87707
417,208,6662.66259,-1461,FFFFFA4B,1498.40429
419,209,6694.69482,-1459,FFFFFA4D,1468.71057
421,210,6726.72656,-1458,FFFFFA4E,1477.75366
423,211,6758.75878,-1458,FFFFFA4E,1523.68518
425,212,6790.79101,-1461,FFFFFA4B,1565.71655
427,213,6822.82275,-1464,FFFFFA48,1534.32897
429,214,6854.85498,-1469,FFFFFA43,1502.61401
431,215,6886.88671,-1474,FFFFFA3E,1464.97595
433,216,6918.91894,-1480,FFFFFA38,1456.54235
435,217,6950.95117,-1485,FFFFFA33,1487.79101
437,218,6982.98291,-1490,FFFFFA2E,1548.78564
439,219,7015.01513,-1495,FFFFFA29,1516.16735
441,220,7047.04687,-1501,FFFFFA23,1521.94250
443,221,7079.07910,-1507,FFFFFA1D,1525.08557
445,222,7111.11132,-1514,FFFFFA16,1479.92358
447,223,7143.14306,-1520,FFFFFA10,1454.84289
449,224,7175.17529,-1526,FFFFFA0A,1476.98535
451,225,7207.20703,-1534,FFFFFA02,1525.10095
453,226,7239.23925,-1542,FFFFF9FA,1526.83532
455,227,7271.27148,-1549,FFFFF9F3,1523.20068
457,228,7303.30322,-1556,FFFFF9EC,1508.35473
459,229,7335.33544,-1563,FFFFF9E5,1450.77087
461,230,7367.36718,-1567,FFFFF9E1,1474.39318
463,231,7399.39941,-1572,FFFFF9DC,1490.48608
465,232,7431.43164,-1577,FFFFF9D7,1506.19580
