508,00007C94,31892, 1F250000,522518528,0
509,0,0,0,0,0
510,40007C94,1073773716, 1F250000,522518528,4
511,0,0,0,0,0
512,40007C94,1073773716, 1F250000,522518528,4
513,0,0,0,0,0
514,20007C94,536902804, 1F250000,522518528,2
515,0,0,0,0,0
516,E0007C92,-536839022, 1F248000,522485760, 0000000E
517,0,0,0,0,0
518,40007C92,1073773714, 1F248000,522485760,4
519,0,0,0,0,0
520,E0007C90,-536839024, 1F240000,522452992, 0000000E
521,0,0,0,0,0
522,A0007C90,-1610580848, 1F240000,522452992, 0000000A
523,0,0,0,0,0
524,80007C92,-2147451758, 1F248000,522485760,8
525,0,0,0,0,0
526,E0007C91,-536839023, 1F244000,522469376, 0000000E
527,0,0,0,0,0
528,80007C91,-2147451759, 1F244000,522469376,8
529,0,0,0,0,0
530,80007C91,-2147451759, 1F244000,522469376,8
531,0,0,0,0,0
532,A0007C92,-1610580846, 1F248000,522485760, 0000000A
533,0,0,0,0,0
534,00007C92,31890, 1F248000,522485760,0
535,0,0,0,0,0
536,A0007C91,-1610580847, 1F244000,522469376, 0000000A
537,0,0,0,0,0
538,A0007C91,-1610580847, 1F244000,522469376, 0000000A
539,0,0,0,0,0
540,80007C91,-2147451759, 1F244000,522469376,8
541,0,0,0,0,0
542,40007C91,1073773713, 1F244000,522469376,4
543,0,0,0,0,0
544,60007C91,1610644625, 1F244000,522469376,6
545,0,0,0,0,0
546,40007C90,1073773712, 1F240000,522452992,4
547,0,0,0,0,0
548,60007C90,1610644624, 1F240000,522452992,6
549,0,0,0,0,0
550,E0007C90,-536839024, 1F240000,522452992, 0000000E
551,0,0,0,0,0
552,C0007C91,-1073709935, 1F244000,522469376, 0000000C
553,0,0,0,0,0
554,40007C96,1073773718, 1F258000,522551296,4
555,0,0,0,0,0
556,E0007C96,-536839018, 1F258000,522551296, 0000000E
557,0,0,0,0,0
558,40007C97,1073773719, 1F25C000,522567680,4
559,0,0,0,0,0
560,C0007C97,-1073709929, 1F25C000,522567680, 0000000C
561,0,0,0,0,0
562,40007C96,1073773718, 1F258000,522551296,4
563,0,0,0,0,0
564,40007C95,1073773717, 1F254000,522534912,4
565,0,0,0,0,0
566,00007C94,31892, 1F250000,522518528,0
567,0,0,0,0,0
568,A0007C93,-1610580845, 1F24C000,522502144, 0000000A
569,0,0,0,0,0
570,E0007C87,-536839033, 1F21C000,522305536, 0000000E
571,0,0,0,0,0
572,C0007C88,-1073709944, 1F220000,522321920, 0000000C
573,0,0,0,0,0
574,E0007C88,-536839032, 1F220000,522321920, 0000000E
575,0,0,0,0,0
576,00007C89,31881, 1F224000,522338304,0
577,0,0,0,0,0
578,20007C88,536902792, 1F220000,522321920,2
579,0,0,0,0,0
580,A0007C88,-1610580856, 1F220000,522321920, 0000000A
581,0,0,0,0,0
582,00007C89,31881, 1F224000,522338304,0
583,0,0,0,0,0
584,40007C91,1073773713, 1F244000,522469376,4
585,0,0,0,0,0
586,20007C91,536902801, 1F244000,522469376,2
587,0,0,0,0,0
588,00007C91,31889, 1F244000,522469376,0
589,0,0,0,0,0
590,80007C90,-2147451760, 1F240000,522452992,8
591,0,0,0,0,0
592,A0007C99,-1610580839, 1F264000,522600448, 0000000A
593,0,0,0,0,0
594,00007C99,31897, 1F264000,522600448,0
595,0,0,0,0,0
596,40007C99,1073773721, 1F264000,522600448,4
597,0,0,0,0,0
598,C0007C99,-1073709927, 1F264000,522600448, 0000000C
599,0,0,0,0,0
600,00007C97,31895, 1F25C000,522567680,0
601,0,0,0,0,0
602,00007C97,31895, 1F25C000,522567680,0
603,0,0,0,0,0
604,80007C96,-2147451754, 1F258000,522551296,8
605,0,0,0,0,0
606,C0007C94,-1073709932, 1F250000,522518528, 0000000C
607,0,0,0,0,0
608,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
609,0,0,0,0,0
610,60007C93,1610644627, 1F24C000,522502144,6
611,0,0,0,0,0
612,A0007C93,-1610580845, 1F24C000,522502144, 0000000A
613,0,0,0,0,0
614,60007C93,1610644627, 1F24C000,522502144,6
615,0,0,0,0,0
616,40007C94,1073773716, 1F250000,522518528,4
617,0,0,0,0,0
618,40007C94,1073773716, 1F250000,522518528,4
619,0,0,0,0,0
620,C0007C94,-1073709932, 1F250000,522518528, 0000000C
621,0,0,0,0,0
622,00007C90,31888, 1F240000,522452992,0
623,0,0,0,0,0
624,A0007C8F,-1610580849, 1F23C000,522436608, 0000000A
625,0,0,0,0,0
626,20007C8F,536902799, 1F23C000,522436608,2
627,0,0,0,0,0
628,00007C90,31888, 1F240000,522452992,0
629,0,0,0,0,0
630,A0007C91,-1610580847, 1F244000,522469376, 0000000A
631,0,0,0,0,0
