
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

i, k, frequency, d1, d1, i2s_fft_buf[k]
297,148,9490.98242,-1600,FFFFF9C0,1553.90441
299,149,9555.11035,-1602,FFFFF9BE,1511.34509
301,150,9619.23828,-1603,FFFFF9BD,1546.37524
303,151,9683.36718,-1604,FFFFF9BC,1596.61254
305,152,9747.49511,-1605,FFFFF9BB,1604.94592
307,153,9811.62304,-1605,FFFFF9BB,1572.88623
309,154,9875.75195,-1606,FFFFF9BA,1517.31176
311,155,9939.87988,-1608,FFFFF9B8,1535.76611
313,156,10004.00781,-1610,FFFFF9B6,1575.02526
315,157,10068.13671,-1611,FFFFF9B5,1602.49255
317,158,10132.26464,-1612,FFFFF9B4,1547.56921
319,159,10196.39257,-1613,FFFFF9B3,1518.62878
321,160,10260.52148,-1611,FFFFF9B5,1532.21972
323,161,10324.64941,-1610,FFFFF9B6,1587.05773
325,162,10388.77734,-1609,FFFFF9B7,1594.74523
327,163,10452.90625,-1609,FFFFF9B7,1567.49011
329,164,10517.03417,-1608,FFFFF9B8,1518.91247
331,165,10581.16210,-1606,FFFFF9BA,1551.80395
333,166,10645.29101,-1605,FFFFF9BB,1573.15112
335,167,10709.41894,-1603,FFFFF9BD,1590.72424
337,168,10773.54687,-1602,FFFFF9BE,1573.18127
339,169,10837.67578,-1600,FFFFF9C0,1526.68908
341,170,10901.80371,-1597,FFFFF9C3,1542.46582
343,171,10965.93164,-1594,FFFFF9C6,1591.09521
345,172,11030.06054,-1592,FFFFF9C8,1598.49597
347,173,11094.18847,-1589,FFFFF9CB,1571.03796
349,174,11158.31640,-1586,FFFFF9CE,1524.11755
351,175,11222.44531,-1583,FFFFF9D1,1527.16076
353,176,11286.57324,-1580,FFFFF9D4,1590.50329
355,177,11350.70117,-1575,FFFFF9D9,1600.91601
357,178,11414.83007,-1573,FFFFF9DB,1558.74182
359,179,11478.95800,-1570,FFFFF9DE,1525.82690
361,180,11543.08593,-1566,FFFFF9E2,1522.84594
363,181,11607.21484,-1563,FFFFF9E5,1589.01831
365,182,11671.34277,-1560,FFFFF9E8,1603.14611
367,183,11735.47070,-1556,FFFFF9EC,1560.22436
369,184,11799.59960,-1553,FFFFF9EF,1526.67248
371,185,11863.72753,-1549,FFFFF9F3,1533.50219
373,186,11927.85546,-1546,FFFFF9F6,1579.65722
375,187,11991.98437,-1545,FFFFF9F7,1599.29992
377,188,12056.11230,-1542,FFFFF9FA,1574.31652
379,189,12120.24023,-1538,FFFFF9FE,1529.75268
381,190,12184.36914,-1535,FFFFFA01,1526.81872
383,191,12248.49707,-1532,FFFFFA04,1581.72668
385,192,12312.62500,-1530,FFFFFA06,1602.22326
387,193,12376.75390,-1526,FFFFFA0A,1565.89196
389,194,12440.88183,-1521,FFFFFA0F,1525.51928
391,195,12505.00976,-1518,FFFFFA12,1546.31127
393,196,12569.13867,-1517,FFFFFA13,1586.11572
395,197,12633.26660,-1514,FFFFFA16,1591.45446
397,198,12697.39453,-1512,FFFFFA18,1568.33728
399,199,12761.52343,-1512,FFFFFA18,1519.48181
401,200,12825.65136,-1511,FFFFFA19,1531.83862
403,201,12889.77929,-1509,FFFFFA1B,1583.27514
405,202,12953.90820,-1508,FFFFFA1C,1591.32958
407,203,13018.03613,-1506,FFFFFA1E,1567.38952
409,204,13082.16406,-1505,FFFFFA1F,1531.78857
411,205,13146.29296,-1503,FFFFFA21,1534.89086
413,206,13210.42089,-1503,FFFFFA21,1569.21228
415,207,13274.54882,-1503,FFFFFA21,1601.49328
417,208,13338.67773,-1503,FFFFFA21,1578.71020
419,209,13402.80566,-1503,FFFFFA21,1519.29321
421,210,13466.93359,-1504,FFFFFA20,1543.39184
423,211,13531.06250,-1506,FFFFFA1E,1569.47009
425,212,13595.19042,-1508,FFFFFA1C,1598.20019
427,213,13659.31835,-1509,FFFFFA1B,1569.43945
429,214,13723.44726,-1510,FFFFFA1A,1526.00622
431,215,13787.57519,-1511,FFFFFA19,1535.17980
433,216,13851.70312,-1513,FFFFFA17,1578.73010
435,217,13915.83203,-1515,FFFFFA15,1591.83630
437,218,13979.95996,-1518,FFFFFA12,1567.15051
439,219,14044.08789,-1520,FFFFFA10,1531.72521
441,220,14108.21679,-1523,FFFFFA0D,1537.91735
443,221,14172.34472,-1526,FFFFFA0A,1571.44299
445,222,14236.47265,-1528,FFFFFA08,1596.76123
447,223,14300.60156,-1530,FFFFFA06,1570.02282
449,224,14364.72949,-1533,FFFFFA03,1531.11926
451,225,14428.85742,-1537,FFFFF9FF,1533.84777
453,226,14492.98632,-1540,FFFFF9FC,1576.45996
455,227,14557.11425,-1541,FFFFF9FB,1599.47558
457,228,14621.24218,-1545,FFFFF9F7,1564.52880
459,229,14685.37109,-1550,FFFFF9F2,1531.08386
461,230,14749.49902,-1554,FFFFF9EE,1531.40368
463,231,14813.62695,-1557,FFFFF9EB,1575.68200
465,232,14877.75585,-1560,FFFFF9E8,1597.33874
467,233,14941.88378,-1562,FFFFF9E6,1567.99816
469,234,15006.01171,-1565,FFFFF9E3,1526.52026
471,235,15070.14062,-1567,FFFFF9E1,1534.98486
473,236,15134.26855,-1570,FFFFF9DE,1571.31506
475,237,15198.39648,-1573,FFFFF9DB,1596.28747
477,238,15262.52539,-1576,FFFFF9D8,1571.44006
479,239,15326.65332,-1578,FFFFF9D6,1529.69616
481,240,15390.78125,-1581,FFFFF9D3,1535.18408
483,241,15454.91015,-1583,FFFFF9D1,1573.66955
485,242,15519.03808,-1585,FFFFF9CF,1595.16931
487,243,15583.16601,-1587,FFFFF9CD,1567.77868
489,244,15647.29492,-1588,FFFFF9CC,1529.49475
491,245,15711.42285,-1590,FFFFF9CA,1536.18750
493,246,15775.55078,-1591,FFFFF9C9,1565.35791
