

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
291,145,9298.59765,-1612,FFFFF9B4,1473.91076
293,146,9362.72558,-1615,FFFFF9B1,1604.18347
295,147,9426.85351,-1618,FFFFF9AE,1533.15771
297,148,9490.98242,-1621,FFFFF9AB,1444.51550
299,149,9555.11035,-1624,FFFFF9A8,1542.20971
301,150,9619.23828,-1628,FFFFF9A4,1585.16308
303,151,9683.36718,-1630,FFFFF9A2,1461.12512
305,152,9747.49511,-1632,FFFFF9A0,1478.02270
307,153,9811.62304,-1632,FFFFF9A0,1600.71313
309,154,9875.75195,-1631,FFFFF9A1,1525.46166
311,155,9939.87988,-1631,FFFFF9A1,1454.23510
313,156,10004.00781,-1630,FFFFF9A2,1550.61950
315,157,10068.13671,-1628,FFFFF9A4,1590.27539
317,158,10132.26464,-1625,FFFFF9A7,1464.97839
319,159,10196.39257,-1621,FFFFF9AB,1476.56298
321,160,10260.52148,-1617,FFFFF9AF,1592.31091
323,161,10324.64941,-1613,FFFFF9B3,1534.59301
325,162,10388.77734,-1607,FFFFF9B9,1442.97521
327,163,10452.90625,-1600,FFFFF9C0,1553.00732
329,164,10517.03417,-1593,FFFFF9C7,1592.56384
331,165,10581.16210,-1585,FFFFF9CF,1455.21508
333,166,10645.29101,-1577,FFFFF9D7,1478.96862
335,167,10709.41894,-1569,FFFFF9DF,1591.04992
337,168,10773.54687,-1561,FFFFF9E7,1524.83325
339,169,10837.67578,-1553,FFFFF9EF,1446.11108
341,170,10901.80371,-1545,FFFFF9F7,1552.89318
343,171,10965.93164,-1537,FFFFF9FF,1582.04541
345,172,11030.06054,-1530,FFFFFA06,1469.70385
347,173,11094.18847,-1523,FFFFFA0D,1482.57897
349,174,11158.31640,-1516,FFFFFA14,1579.73168
351,175,11222.44531,-1506,FFFFFA1E,1518.25134
353,176,11286.57324,-1498,FFFFFA26,1430.42919
355,177,11350.70117,-1492,FFFFFA2C,1541.17578
357,178,11414.83007,-1485,FFFFFA33,1584.58740
359,179,11478.95800,-1479,FFFFFA39,1458.52246
361,180,11543.08593,-1474,FFFFFA3E,1480.76318
363,181,11607.21484,-1470,FFFFFA42,1589.99523
