428,-1610580750, A0007CF2, A,0,0,0,7, C, F,2
430,-2147451687, 80007CD9,8,0,0,0,7, C, D,9
432,1073773801, 40007CE9,4,0,0,0,7, C, E,9
434,31994, 00007CFA,0,0,0,0,7, C, F, A 
436,1610644746, 60007D0A,6,0,0,0,7, D,0, A 
438,-2147451625, 80007D17,8,0,0,0,7, D,1,7
440,536902946, 20007D22,2,0,0,0,7, D,2,2
442,-1610580693, A0007D2B, A,0,0,0,7, D,2, B 
444,1073773570, 40007C02,4,0,0,0,7, C,0,2
446,1610644491, 60007C0B,6,0,0,0,7, C,0, B 
448,1073773590, 40007C16,4,0,0,0,7, C,1,6
450,-1073710049, C0007C1F, C,0,0,0,7, C,1, F 
452,1610644522, 60007C2A,6,0,0,0,7, C,2, A 
454,1610644536, 60007C38,6,0,0,0,7, C,3,8
456,-1610580919, A0007C49, A,0,0,0,7, C,4,9
458,536902670, 20007C0E,2,0,0,0,7, C,0, E 
460,31750, 00007C06,0,0,0,0,7, C,0,6
462,-1073710084, C0007BFC, C,0,0,0,7, B, F, C 
464,536902644, 20007BF4,2,0,0,0,7, B, F,4
466,-536839188, E0007BEC, E,0,0,0,7, B, E, C 
468,-1073710105, C0007BE7, C,0,0,0,7, B, E,7
470,536902628, 20007BE4,2,0,0,0,7, B, E,4
472,31713, 00007BE1,0,0,0,0,7, B, E,1
474,1073773750, 40007CB6,4,0,0,0,7, C, B,6
476,-536839003, E0007CA5, E,0,0,0,7, C, A,5
478,536902807, 20007C97,2,0,0,0,7, C,9,7
480,1073773707, 40007C8B,4,0,0,0,7, C,8, B 
482,31874, 00007C82,0,0,0,0,7, C,8,2
484,1610644601, 60007C79,6,0,0,0,7, C,7,9
486,536902768, 20007C70,2,0,0,0,7, C,7,0
488,32068, 00007D44,0,0,0,0,7, D,4,4
490,536902983, 20007D47,2,0,0,0,7, D,4,7
492,1073773897, 40007D49,4,0,0,0,7, D,4,9
494,-1073709751, C0007D49, C,0,0,0,7, D,4,9
496,32070, 00007D46,0,0,0,0,7, D,4,6
498,-2147451588, 80007D3C,8,0,0,0,7, D,3, C 
500,1610644784, 60007D30,6,0,0,0,7, D,3,0
502,-536839032, E0007C88, E,0,0,0,7, C,8,8
504,-1073709934, C0007C92, C,0,0,0,7, C,9,2
506,-2147451745, 80007C9F,8,0,0,0,7, C,9, F 
508,1610644654, 60007CAE,6,0,0,0,7, C, A, E 
510,1610644668, 60007CBC,6,0,0,0,7, C, B, C 
512,-2147451701, 80007CCB,8,0,0,0,7, C, C, B 
514,-1073709863, C0007CD9, C,0,0,0,7, C, D,9
516,1073773535, 40007BDF,4,0,0,0,7, B, D, F 
518,-2147451932, 80007BE4,8,0,0,0,7, B, E,4
520,536902635, 20007BEB,2,0,0,0,7, B, E, B 
522,536902643, 20007BF3,2,0,0,0,7, B, F,3
524,536902650, 20007BFA,2,0,0,0,7, B, F, A 
526,-1610580994, A0007BFE, A,0,0,0,7, B, F, E 
528,1610644485, 60007C05,6,0,0,0,7, C,0,5
530,-536839096, E0007C48, E,0,0,0,7, C,4,8
532,536902718, 20007C3E,2,0,0,0,7, C,3, E 
534,31794, 00007C32,0,0,0,0,7, C,3,2
536,-2147451866, 80007C26,8,0,0,0,7, C,2,6
538,-536839138, E0007C1E, E,0,0,0,7, C,1, E 
540,-2147451882, 80007C16,8,0,0,0,7, C,1,6
542,1073773580, 40007C0C,4,0,0,0,7, C,0, C 
544,1073773572, 40007C04,4,0,0,0,7, C,0,4
546,-1610580726, A0007D0A, A,0,0,0,7, D,0, A 
548,-2147451651, 80007CFD,8,0,0,0,7, C, F, D 
550,-536838930, E0007CEE, E,0,0,0,7, C, E, E 
552,536902881, 20007CE1,2,0,0,0,7, C, E,1
554,-536838957, E0007CD3, E,0,0,0,7, C, D,3
556,-2147451708, 80007CC4,8,0,0,0,7, C, C,4
558,-2147451725, 80007CB3,8,0,0,0,7, C, B,3
560,-1073709800, C0007D18, C,0,0,0,7, D,1,8
562,536902946, 20007D22,2,0,0,0,7, D,2,2
564,1073773867, 40007D2B,4,0,0,0,7, D,2, B 
566,-536838862, E0007D32, E,0,0,0,7, D,3,2
568,32057, 00007D39,0,0,0,0,7, D,3,9
570,536902975, 20007D3F,2,0,0,0,7, D,3, F 
572,-2147451581, 80007D43,8,0,0,0,7, D,4,3
574,31794, 00007C32,0,0,0,0,7, C,3,2
576,-1073710015, C0007C41, C,0,0,0,7, C,4,1
578,-2147451822, 80007C52,8,0,0,0,7, C,5,2
580,31845, 00007C65,0,0,0,0,7, C,6,5
582,-2147451787, 80007C75,8,0,0,0,7, C,7,5
584,-536839038, E0007C82, E,0,0,0,7, C,8,2
586,1073773710, 40007C8E,4,0,0,0,7, C,8, E 
588,-1073710101, C0007BEB, C,0,0,0,7, B, E, B 
590,-1073710106, C0007BE6, C,0,0,0,7, B, E,6
592,31715, 00007BE3,0,0,0,0,7, B, E,3
594,1610644447, 60007BDF,6,0,0,0,7, B, D, F 
596,536902620, 20007BDC,2,0,0,0,7, B, D, C 
598,-2147451941, 80007BDB,8,0,0,0,7, B, D, B 
600,1610644447, 60007BDF,6,0,0,0,7, B, D, F 
602,-2147451770, 80007C86,8,0,0,0,7, C,8,6
604,1610644605, 60007C7D,6,0,0,0,7, C,7, D 
606,-1610580876, A0007C74, A,0,0,0,7, C,7,4
608,31851, 00007C6B,0,0,0,0,7, C,6, B 
610,-2147451809, 80007C5F,8,0,0,0,7, C,5, F 
612,-2147451822, 80007C52,8,0,0,0,7, C,5,2
614,31814, 00007C46,0,0,0,0,7, C,4,6
616,536902987, 20007D4B,2,0,0,0,7, D,4, B 
618,1073773892, 40007D44,4,0,0,0,7, D,4,4
620,536902969, 20007D39,2,0,0,0,7, D,3,9
622,-2147451603, 80007D2D,8,0,0,0,7, D,2, D 
624,1073773859, 40007D23,4,0,0,0,7, D,2,3
