245,1073805226, 4000F7AA,4,0,0,0, F,7, A, A ,
247,-2147420237, 8000F7B3,8,0,0,0, F,7, B,3,
249,-2147420225, 8000F7BF,8,0,0,0, F,7, B, F ,
251,1073805265, 4000F7D1,4,0,0,0, F,7, D,1,
253,1073805282, 4000F7E2,4,0,0,0, F,7, E,2,
255,-1073678355, C000F7ED, C,0,0,0, F,7, E, D ,
257,63482, 0000F7FA,0,0,0,0, F,7, F, A ,
259,-2147420012, 8000F894,8,0,0,0, F,8,9,4,
261,-1073678219, C000F875, C,0,0,0, F,8,7,5,
263,-1073678246, C000F85A, C,0,0,0, F,8,5, A ,
265,-1073678266, C000F846, C,0,0,0, F,8,4,6,
267,63536, 0000F830,0,0,0,0, F,8,3,0,
269,63517, 0000F81D,0,0,0,0, F,8,1, D ,
271,63507, 0000F813,0,0,0,0, F,8,1,3,
273,-2147419578, 8000FA46,8,0,0,0, F, A,4,6,
275,-1073677772, C000FA34, C,0,0,0, F, A,3,4,
277,-1073677797, C000FA1B, C,0,0,0, F, A,1, B ,
279,1073805823, 4000F9FF,4,0,0,0, F,9, F, F ,
281,-2147419680, 8000F9E0,8,0,0,0, F,9, E,0,
283,1073805763, 4000F9C3,4,0,0,0, F,9, C,3,
285,-1073677916, C000F9A4, C,0,0,0, F,9, A,4,
287,-1073677783, C000FA29, C,0,0,0, F, A,2,9,
289,-2147419576, 8000FA48,8,0,0,0, F, A,4,8,
291,-1073677730, C000FA5E, C,0,0,0, F, A,5, E ,
293,64114, 0000FA72,0,0,0,0, F, A,7,2,
295,-1073677694, C000FA82, C,0,0,0, F, A,8,2,
297,-2147419505, 8000FA8F,8,0,0,0, F, A,8, F ,
299,1073805978, 4000FA9A,4,0,0,0, F, A,9, A ,
301,-2147420096, 8000F840,8,0,0,0, F,8,4,0,
303,1073805398, 4000F856,4,0,0,0, F,8,5,6,
305,-2147420045, 8000F873,8,0,0,0, F,8,7,3,
307,1073805459, 4000F893,4,0,0,0, F,8,9,3,
309,63669, 0000F8B5,0,0,0,0, F,8, B,5,
311,1073805530, 4000F8DA,4,0,0,0, F,8, D, A ,
313,63737, 0000F8F9,0,0,0,0, F,8, F,9,
315,-1073678376, C000F7D8, C,0,0,0, F,7, D,8,
317,63437, 0000F7CD,0,0,0,0, F,7, C, D ,
319,1073805249, 4000F7C1,4,0,0,0, F,7, C,1,
321,1073805233, 4000F7B1,4,0,0,0, F,7, B,1,
323,1073805224, 4000F7A8,4,0,0,0, F,7, A,8,
325,-1073678430, C000F7A2, C,0,0,0, F,7, A,2,
327,-2147420260, 8000F79C,8,0,0,0, F,7,9, C ,
329,-1073678027, C000F935, C,0,0,0, F,9,3,5,
331,-1073678054, C000F91A, C,0,0,0, F,9,1, A ,
333,-1073678075, C000F905, C,0,0,0, F,9,0,5,
335,-1073678094, C000F8F2, C,0,0,0, F,8, F,2,
337,-1073678112, C000F8E0, C,0,0,0, F,8, E,0,
339,1073805515, 4000F8CB,4,0,0,0, F,8, C, B ,
341,-1073678162, C000F8AE, C,0,0,0, F,8, A, E ,
343,1073806000, 4000FAB0,4,0,0,0, F, A, B,0,
345,-1073677646, C000FAB2, C,0,0,0, F, A, B,2,
347,-1073677654, C000FAAA, C,0,0,0, F, A, A, A ,
349,1073805976, 4000FA98,4,0,0,0, F, A,9,8,
351,-1073677697, C000FA7F, C,0,0,0, F, A,7, F ,
