
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
237,118,3779.77978,-1738,FFFFF936,1634.39855
239,119,3811.81176,-1734,FFFFF93A,2232.76391
241,120,3843.84375,-1730,FFFFF93E,1927.54882
243,121,3875.87597,-1725,FFFFF943,1989.26843
245,122,3907.90795,-1725,FFFFF943,2340.68847
247,123,3939.93994,-1726,FFFFF942,1751.71569
249,124,3971.97192,-1731,FFFFF93D,2506.55273
251,125,4004.00390,-1743,FFFFF931,1881.89270
253,126,4036.03613,-1750,FFFFF92A,1566.46508
255,127,4068.06811,-1744,FFFFF930,1470.51306
257,128,4100.10009,-1738,FFFFF936,2702.48730
259,129,4132.13232,-1738,FFFFF936,1624.25781
261,130,4164.16406,-1748,FFFFF92C,1027.24548
263,131,4196.19628,-1756,FFFFF924,2907.14965
265,132,4228.22802,-1751,FFFFF929,2274.38671
267,133,4260.26025,-1741,FFFFF933,1412.24353
269,134,4292.29248,-1727,FFFFF941,2831.47998
271,135,4324.32421,-1712,FFFFF950,1430.26977
273,136,4356.35644,-1710,FFFFF952,860.23852
275,137,4388.38818,-1722,FFFFF946,5053.42578
277,138,4420.42041,-1742,FFFFF932,4110.90087
279,139,4452.45263,-1764,FFFFF91C,5696.55126
281,140,4484.48437,-1778,FFFFF90E,4084.15942
283,141,4516.51660,-1780,FFFFF90C,2772.26269
285,142,4548.54833,-1772,FFFFF914,2708.92138
287,143,4580.58056,-1757,FFFFF923,2757.84375
289,144,4612.61279,-1739,FFFFF935,2498.56396
291,145,4644.64453,-1729,FFFFF93F,1695.83215
293,146,4676.67675,-1725,FFFFF943,2321.44970
295,147,4708.70849,-1721,FFFFF947,1048.61975
297,148,4740.74072,-1722,FFFFF946,2448.11865
299,149,4772.77294,-1728,FFFFF940,1651.18261
301,150,4804.80468,-1738,FFFFF936,1789.28027
303,151,4836.83691,-1754,FFFFF926,1459.43615
305,152,4868.86865,-1765,FFFFF91B,3063.64160
307,153,4900.90087,-1765,FFFFF91B,3195.06494
309,154,4932.93310,-1757,FFFFF923,1430.38012
311,155,4964.96484,-1740,FFFFF934,986.71118
313,156,4996.99707,-1718,FFFFF94A,345.99481
315,157,5029.02880,-1701,FFFFF95B,1712.21716
317,158,5061.06103,-1697,FFFFF95F,1698.12719
319,159,5093.09326,-1712,FFFFF950,1036.05603
321,160,5125.12500,-1738,FFFFF936,1855.86840
323,161,5157.15722,-1760,FFFFF920,1119.61572
325,162,5189.18896,-1772,FFFFF914,1534.38732
327,163,5221.22119,-1774,FFFFF912,1540.06555
329,164,5253.25341,-1765,FFFFF91B,3388.61694
331,165,5285.28515,-1748,FFFFF92C,2701.72363
333,166,5317.31738,-1729,FFFFF93F,1831.69458
335,167,5349.34912,-1716,FFFFF94C,1310.92944
337,168,5381.38134,-1707,FFFFF955,552.61029
339,169,5413.41357,-1703,FFFFF959,2263.52734
341,170,5445.44531,-1707,FFFFF955,2925.96704
343,171,5477.47753,-1718,FFFFF94A,2789.68017
345,172,5509.50927,-1735,FFFFF939,4261.96826
347,173,5541.54150,-1752,FFFFF928,4445.90722
349,174,5573.57373,-1759,FFFFF921,3690.88305
351,175,5605.60546,-1757,FFFFF923,3367.26928
353,176,5637.63769,-1746,FFFFF92E,3824.10498
355,177,5669.66943,-1727,FFFFF941,1296.97338
357,178,5701.70166,-1705,FFFFF957,2661.67382
359,179,5733.73388,-1694,FFFFF962,4298.56201
361,180,5765.76562,-1696,FFFFF960,2470.30078
363,181,5797.79785,-1708,FFFFF954,1631.18371
365,182,5829.82958,-1728,FFFFF940,4255.30810
367,183,5861.86181,-1743,FFFFF931,2687.95556
369,184,5893.89404,-1749,FFFFF92B,2397.26000
371,185,5925.92578,-1747,FFFFF92D,3958.77368
373,186,5957.95800,-1736,FFFFF938,125.74286
375,187,5989.98974,-1727,FFFFF941,3526.37622
377,188,6022.02197,-1723,FFFFF945,2619.30908
379,189,6054.05419,-1726,FFFFF942,1678.26123
381,190,6086.08593,-1732,FFFFF93C,2078.70092
383,191,6118.11816,-1737,FFFFF937,549.28308
385,192,6150.15039,-1741,FFFFF933,1804.06774
387,193,6182.18212,-1746,FFFFF92E,2637.52368
389,194,6214.21435,-1753,FFFFF927,2074.43310
391,195,6246.24609,-1757,FFFFF923,776.82763
393,196,6278.27832,-1761,FFFFF91F,1241.96411
395,197,6310.31054,-1765,FFFFF91B,1513.32531
397,198,6342.34228,-1760,FFFFF920,2206.14721
399,199,6374.37451,-1746,FFFFF92E,1547.16430
401,200,6406.40625,-1729,FFFFF93F,1299.31665
403,201,6438.43847,-1720,FFFFF948,2020.41308
405,202,6470.47070,-1726,FFFFF942,1942.60485
407,203,6502.50244,-1739,FFFFF935,2473.14575
409,204,6534.53466,-1755,FFFFF925,1947.69299
411,205,6566.56640,-1767,FFFFF919,2590.78759
413,206,6598.59863,-1767,FFFFF919,2319.97534
415,207,6630.63085,-1760,FFFFF920,321.83099
417,208,6662.66259,-1747,FFFFF92D,1415.60595
419,209,6694.69482,-1738,FFFFF936,1343.76135
421,210,6726.72656,-1741,FFFFF933,2092.49316
423,211,6758.75878,-1748,FFFFF92C,2190.76342
425,212,6790.79101,-1752,FFFFF928,587.54724
427,213,6822.82275,-1754,FFFFF926,1495.35131
429,214,6854.85498,-1753,FFFFF927,1991.46032
431,215,6886.88671,-1754,FFFFF926,1917.93994
433,216,6918.91894,-1754,FFFFF926,1485.95605
435,217,6950.95117,-1755,FFFFF925,1693.25634
437,218,6982.98291,-1764,FFFFF91C,1716.38488
439,219,7015.01513,-1765,FFFFF91B,1700.51977
441,220,7047.04687,-1748,FFFFF92C,1570.56738
443,221,7079.07910,-1727,FFFFF941,1704.95312
445,222,7111.11132,-1712,FFFFF950,1487.45605
447,223,7143.14306,-1706,FFFFF956,1358.22485
449,224,7175.17529,-1714,FFFFF94E,1456.86657
451,225,7207.20703,-1735,FFFFF939,1567.35681
453,226,7239.23925,-1757,FFFFF923,1843.31420
455,227,7271.27148,-1772,FFFFF914,2254.72045
457,228,7303.30322,-1774,FFFFF912,1070.10559
459,229,7335.33544,-1758,FFFFF922,1980.29382
461,230,7367.36718,-1742,FFFFF932,1359.72009
463,231,7399.39941,-1735,FFFFF939,2076.38842
465,232,7431.43164,-1727,FFFFF941,1651.88635
467,233,7463.46337,-1727,FFFFF941,1490.94531
469,234,7495.49560,-1732,FFFFF93C,1188.20886
471,235,7527.52734,-1735,FFFFF939,3062.23901
473,236,7559.55957,-1739,FFFFF935,3125.44653
475,237,7591.59179,-1740,FFFFF934,1294.06127
477,238,7623.62353,-1748,FFFFF92C,2705.22045
479,239,7655.65576,-1765,FFFFF91B,3617.78710
481,240,7687.68750,-1779,FFFFF90D,1545.17834
483,241,7719.71972,-1778,FFFFF90E,2489.66015
485,242,7751.75195,-1762,FFFFF91E,2970.57885
487,243,7783.78369,-1741,FFFFF933,1094.14575
489,244,7815.81591,-1725,FFFFF943,3614.71752
491,245,7847.84765,-1717,FFFFF94B,1523.58850
493,246,7879.87988,-1722,FFFFF946,1363.17077
495,247,7911.91210,-1736,FFFFF938,1115.75280
497,248,7943.94384,-1749,FFFFF92B,1691.58032
499,249,7975.97607,-1759,FFFFF921,3638.35888
501,250,8008.00781,-1766,FFFFF91A,2944.04467
503,251,8040.04003,-1769,FFFFF917,3379.54711
505,252,8072.07226,-1771,FFFFF915,4886.86425
507,253,8104.10400,-1769,FFFFF917,2726.52954
509,254,8136.13623,-1760,FFFFF920,825.93621
511,255,8168.16796,-1748,FFFFF92C,1040.59704
513,256,8200.20019,-1743,FFFFF931,1254.13134
515,257,8232.23242,-1731,FFFFF93D,2605.80224
517,258,8264.26464,-1716,FFFFF94C,2114.75781
519,259,8296.29589,-1715,FFFFF94D,1408.17468
521,260,8328.32812,-1722,FFFFF946,1510.70288
523,261,8360.36035,-1741,FFFFF933,1679.09301
525,262,8392.39257,-1763,FFFFF91D,1630.19689
527,263,8424.42480,-1774,FFFFF912,1715.69543
529,264,8456.45605,-1787,FFFFF905,1729.39355
531,265,8488.48828,-1789,FFFFF903,1467.26538
533,266,8520.52050,-1771,FFFFF915,1932.01062
535,267,8552.55273,-1759,FFFFF921,1453.25927
537,268,8584.58496,-1750,FFFFF92A,1525.29418
539,269,8616.61621,-1734,FFFFF93A,1432.22875
541,270,8648.64843,-1728,FFFFF940,1886.70849
543,271,8680.68066,-1723,FFFFF945,2215.10864
545,272,8712.71289,-1723,FFFFF945,793.74243
547,273,8744.74511,-1739,FFFFF935,2244.91528
549,274,8776.77636,-1756,FFFFF924,2659.53833
551,275,8808.80859,-1770,FFFFF916,1345.52795
553,276,8840.84082,-1779,FFFFF90D,2479.48144
555,277,8872.87304,-1770,FFFFF916,2850.95117
557,278,8904.90527,-1745,FFFFF92F,1168.62829
559,279,8936.93652,-1719,FFFFF949,4146.17187
561,280,8968.96875,-1701,FFFFF95B,2561.56958
563,281,9001.00097,-1695,FFFFF961,1833.76904
565,282,9033.03320,-1702,FFFFF95A,2902.97509
567,283,9065.06542,-1713,FFFFF94F,1441.26049
569,284,9097.09667,-1725,FFFFF943,2242.71777
571,285,9129.12890,-1745,FFFFF92F,2051.12329
573,286,9161.16113,-1758,FFFFF922,1613.93750
575,287,9193.19335,-1761,FFFFF91F,1418.19641
577,288,9225.22558,-1766,FFFFF91A,809.97277
579,289,9257.25683,-1765,FFFFF91B,1612.09387
581,290,9289.28906,-1751,FFFFF929,1855.79846
583,291,9321.32128,-1732,FFFFF93C,449.14611
585,292,9353.35351,-1714,FFFFF94E,1956.96459
587,293,9385.38574,-1705,FFFFF957,1969.62524
589,294,9417.41699,-1709,FFFFF953,2321.81860
591,295,9449.44921,-1720,FFFFF948,2468.48144
593,296,9481.48144,-1735,FFFFF939,1557.13562
