
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
245,122,3907.90795,-1762,FFFFF91E,887.82800
247,123,3939.93994,-1762,FFFFF91E,882.87646
249,124,3971.97192,-1763,FFFFF91D,891.14544
251,125,4004.00390,-1762,FFFFF91E,853.44860
253,126,4036.03613,-1763,FFFFF91D,894.82489
255,127,4068.06811,-1764,FFFFF91C,865.53338
257,128,4100.10009,-1763,FFFFF91D,899.48480
259,129,4132.13232,-1764,FFFFF91C,876.19512
261,130,4164.16406,-1763,FFFFF91D,858.89007
263,131,4196.19628,-1763,FFFFF91D,901.45080
265,132,4228.22802,-1763,FFFFF91D,913.43243
267,133,4260.26025,-1763,FFFFF91D,887.80560
269,134,4292.29248,-1763,FFFFF91D,868.71466
271,135,4324.32421,-1764,FFFFF91C,881.92114
273,136,4356.35644,-1763,FFFFF91D,874.53045
275,137,4388.38818,-1762,FFFFF91E,895.11383
277,138,4420.42041,-1762,FFFFF91E,881.92669
279,139,4452.45263,-1763,FFFFF91D,880.22863
281,140,4484.48437,-1762,FFFFF91E,863.96649
283,141,4516.51660,-1761,FFFFF91F,872.11968
285,142,4548.54833,-1761,FFFFF91F,903.18695
287,143,4580.58056,-1760,FFFFF920,891.61920
289,144,4612.61279,-1760,FFFFF920,929.03527
291,145,4644.64453,-1760,FFFFF920,914.76257
293,146,4676.67675,-1759,FFFFF921,886.64099
295,147,4708.70849,-1759,FFFFF921,904.54638
297,148,4740.74072,-1760,FFFFF920,898.07043
299,149,4772.77294,-1759,FFFFF921,884.08367
301,150,4804.80468,-1759,FFFFF921,853.75646
303,151,4836.83691,-1759,FFFFF921,861.54650
305,152,4868.86865,-1758,FFFFF922,899.86608
307,153,4900.90087,-1756,FFFFF924,856.72741
309,154,4932.93310,-1755,FFFFF925,876.94122
311,155,4964.96484,-1755,FFFFF925,867.96704
313,156,4996.99707,-1754,FFFFF926,873.35021
315,157,5029.02880,-1753,FFFFF927,869.36480
317,158,5061.06103,-1754,FFFFF926,868.68170
319,159,5093.09326,-1753,FFFFF927,871.34143
