
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
235,117,3747.74780,-1744,FFFFF930,1731.00756
237,118,3779.77978,-1745,FFFFF92F,1751.34716
239,119,3811.81176,-1746,FFFFF92E,1731.69628
241,120,3843.84375,-1747,FFFFF92D,1724.81005
243,121,3875.87597,-1747,FFFFF92D,1730.05322
245,122,3907.90795,-1747,FFFFF92D,1755.61267
247,123,3939.93994,-1747,FFFFF92D,1736.15307
249,124,3971.97192,-1748,FFFFF92C,1724.41357
251,125,4004.00390,-1749,FFFFF92B,1717.49365
253,126,4036.03613,-1750,FFFFF92A,1750.37854
255,127,4068.06811,-1752,FFFFF928,1717.45544
257,128,4100.10009,-1753,FFFFF927,1754.94836
259,129,4132.13232,-1753,FFFFF927,1735.63867
261,130,4164.16406,-1754,FFFFF926,1708.72290
263,131,4196.19628,-1755,FFFFF925,1720.44287
265,132,4228.22802,-1755,FFFFF925,1729.56274
267,133,4260.26025,-1756,FFFFF924,1729.51953
269,134,4292.29248,-1756,FFFFF924,1721.30517
271,135,4324.32421,-1756,FFFFF924,1719.44238
273,136,4356.35644,-1757,FFFFF923,1770.91198
275,137,4388.38818,-1758,FFFFF922,1727.91784
277,138,4420.42041,-1758,FFFFF922,1712.13708
279,139,4452.45263,-1760,FFFFF920,1736.66467
281,140,4484.48437,-1761,FFFFF91F,1748.73291
283,141,4516.51660,-1761,FFFFF91F,1737.84118
285,142,4548.54833,-1761,FFFFF91F,1738.40283
287,143,4580.58056,-1761,FFFFF91F,1756.79467
289,144,4612.61279,-1762,FFFFF91E,1742.05517
291,145,4644.64453,-1763,FFFFF91D,1725.84497
293,146,4676.67675,-1762,FFFFF91E,1717.61718
295,147,4708.70849,-1762,FFFFF91E,1744.79406
297,148,4740.74072,-1762,FFFFF91E,1759.03002
299,149,4772.77294,-1763,FFFFF91D,1725.40405
301,150,4804.80468,-1762,FFFFF91E,1758.69873
303,151,4836.83691,-1762,FFFFF91E,1749.22705
305,152,4868.86865,-1763,FFFFF91D,1722.90917
307,153,4900.90087,-1764,FFFFF91C,1749.27783
309,154,4932.93310,-1764,FFFFF91C,1732.85119
311,155,4964.96484,-1764,FFFFF91C,1738.90734
313,156,4996.99707,-1763,FFFFF91D,1756.41162
315,157,5029.02880,-1762,FFFFF91E,1752.73620
317,158,5061.06103,-1761,FFFFF91F,1744.86230
319,159,5093.09326,-1761,FFFFF91F,1740.32397
321,160,5125.12500,-1762,FFFFF91E,1746.56030
