6,FFFFF7C6,,,
85,-120045568,F8D84000,-1832,FFFFF8D8
87,-151994368,F6F0C000,-2320,FFFFF6F0
89,-154714112,F6C74000,-2361,FFFFF6C7
91,-157122560,F6A28000,-2398,FFFFF6A2
93,-158466048,F68E0000,-2418,FFFFF68E
95,-157646848,F69A8000,-2406,FFFFF69A
97,-154058752,F6D14000,-2351,FFFFF6D1
99,-148406272,F7278000,-2265,FFFFF727
101,-142344192,F7840000,-2172,FFFFF784
103,-136822784,F7D84000,-2088,FFFFF7D8
105,-101613568,F9F18000,-1551,FFFFF9F1
107,-93405184,FA6EC000,-1426,FFFFFA6E
109,-86753280,FAD44000,-1324,FFFFFAD4
111,-81412096,FB25C000,-1243,FFFFFB25
113,-76791808,FB6C4000,-1172,FFFFFB6C
115,-72761344,FBA9C000,-1111,FFFFFBA9
117,-70270976,FBCFC000,-1073,FFFFFBCF
119,-69910528,FBD54000,-1067,FFFFFBD5
121,-72040448,FBB4C000,-1100,FFFFFBB4
123,-76513280,FB708000,-1168,FFFFFB70
125,-105594880,F9B4C000,-1612,FFFFF9B4
127,-114524160,F92C8000,-1748,FFFFF92C
129,-124436480,F8954000,-1899,FFFFF895
131,-134070272,F8024000,-2046,FFFFF802
133,-142098432,F787C000,-2169,FFFFF787
135,-147980288,F72E0000,-2258,FFFFF72E
137,-151945216,F6F18000,-2319,FFFFF6F1
139,-154664960,F6C80000,-2360,FFFFF6C8
141,-156860416,F6A68000,-2394,FFFFF6A6
143,-146079744,F74B0000,-2229,FFFFF74B
145,-140148736,F7A58000,-2139,FFFFF7A5
147,-134856704,F7F64000,-2058,FFFFF7F6
149,-128761856,F8534000,-1965,FFFFF853
151,-121143296,F8C78000,-1849,FFFFF8C7
153,-112214016,F94FC000,-1713,FFFFF94F
155,-102645760,F9E1C000,-1567,FFFFF9E1
157,-93978624,FA660000,-1434,FFFFFA66
159,-87031808,FAD00000,-1328,FFFFFAD0
161,-81510400,FB244000,-1244,FFFFFB24
163,-70320128,FBCF0000,-1073,FFFFFBCF
165,-73646080,FB9C4000,-1124,FFFFFB9C
167,-78708736,FB4F0000,-1201,FFFFFB4F
169,-84869120,FAF10000,-1295,FFFFFAF1
171,-91095040,FA920000,-1390,FFFFFA92
173,-97681408,FA2D8000,-1491,FFFFFA2D
175,-105431040,F9B74000,-1609,FFFFF9B7
177,-114327552,F92F8000,-1745,FFFFF92F
179,-124092416,F89A8000,-1894,FFFFF89A
181,-153829376,F6D4C000,-2348,FFFFF6D4
183,-156172288,F6B10000,-2383,FFFFF6B1
185,-158154752,F692C000,-2414,FFFFF692
187,-158679040,F68AC000,-2422,FFFFF68A
189,-156581888,F6AAC000,-2390,FFFFF6AA
191,-152174592,F6EE0000,-2322,FFFFF6EE
193,-146128896,F74A4000,-2230,FFFFF74A
195,-140099584,F7A64000,-2138,FFFFF7A6
197,-134823936,F7F6C000,-2058,FFFFF7F6
199,-97828864,FA2B4000,-1493,FFFFFA2B
201,-90161152,FAA04000,-1376,FFFFFAA0
203,-84279296,FAFA0000,-1286,FFFFFAFA
205,-79446016,FB43C000,-1213,FFFFFB43
207,-75038720,FB870000,-1145,FFFFFB87
209,-71467008,FBBD8000,-1091,FFFFFBBD
211,-69632000,FBD98000,-1063,FFFFFBD9
213,-70270976,FBCFC000,-1073,FFFFFBCF
215,-73564160,FB9D8000,-1123,FFFFFB9D
217,-78757888,FB4E4000,-1202,FFFFFB4E
219,-109887488,F9734000,-1677,FFFFF973
